"type","value","count","flag","part","Iteration"
"top_twitterer","Personal_Med",128,"none","2015-1",0
"top_twitterer","Diaceutics",113,"none","2015-1",0
"top_twitterer","cathcoste",74,"none","2015-1",0
"top_twitterer","PharmacyPodcast",71,"none","2015-1",0
"top_twitterer","mdsdaily",66,"none","2015-1",0
"top_twitterer","NoSQLDigest",46,"none","2015-1",0
"top_twitterer","BioSquat",27,"none","2015-1",0
"top_twitterer","PMWCintl",16,"none","2015-1",0
"top_twitterer","Pharma_BI",8,"none","2015-1",0
"top_twitterer","davitabile",7,"none","2015-1",0
"top_twitterer","StationXInc",6,"none","2015-1",0
"top_twitterer","Genomeducator",4,"none","2015-1",0
"top_twitterer","AVIVA1950",3,"none","2015-1",0
"top_twitterer","StephenJWillia2",1,"none","2015-1",0
"top_hashtag","Medicine",208,"none","2015-1",0
"top_hashtag","PersonalizedMedicine",174,"none","2015-1",0
"top_hashtag","personalized",172,"none","2015-1",0
"top_hashtag","PMWC15",158,"none","2015-1",0
"top_hashtag","SOTU",135,"none","2015-1",0
"top_hashtag","Precision",124,"none","2015-1",0
"top_hashtag","PrecisionMedicine",100,"none","2015-1",0
"top_hashtag","cancer",68,"none","2015-1",0
"top_hashtag","pharmacogenomics",42,"none","2015-1",0
"top_hashtag","healthcare",39,"none","2015-1",0
"top_hashtag","human",32,"none","2015-1",0
"top_hashtag","Pharmacy",32,"none","2015-1",0
"top_hashtag","Obama",26,"none","2015-1",0
"top_hashtag","FDA",25,"none","2015-1",0
"tag","PMWC15",158,"conference","2015-1",0
"tag","PMWC2015",25,"conference","2015-1",0
"tag","SOTU2015",12,"conference","2015-1",0
"tag","InformedHealth2015",10,"conference","2015-1",0
"tag","PWMC15",10,"conference","2015-1",0
"tag","gbcws15",5,"conference","2015-1",0
"tag","precisionmedicine2015",4,"conference","2015-1",0
"tag","SOTU15",4,"conference","2015-1",0
"tag","gyss2015",2,"conference","2015-1",0
"tag","JPM15",2,"conference","2015-1",0
"tag","MHC15",2,"conference","2015-1",0
"tag","PMWC2015Introduction",2,"conference","2015-1",0
"tag","Cures2015",1,"conference","2015-1",0
"tag","mava2015",1,"conference","2015-1",0
"tag","Medicine",208,"mesh","2015-1",0
"tag","Pharmacy",32,"mesh","2015-1",0
"tag","Pathology",10,"mesh","2015-1",0
"tag","privacy",8,"mesh","2015-1",0
"tag","biotechnology",6,"mesh","2015-1",0
"tag","obesity",6,"mesh","2015-1",0
"tag","radiology",6,"mesh","2015-1",0
"tag","Hospitals",4,"mesh","2015-1",0
"tag","beauty",3,"mesh","2015-1",0
"tag","Boston",3,"mesh","2015-1",0
"tag","longevity",3,"mesh","2015-1",0
"tag","research",3,"mesh","2015-1",0
"tag","basketball",2,"mesh","2015-1",0
"tag","genome",2,"mesh","2015-1",0
"tag","Ireland",2,"mesh","2015-1",0
"tag","Paraganglioma",2,"mesh","2015-1",0
"tag","Politics",2,"mesh","2015-1",0
"tag","Safety",2,"mesh","2015-1",0
"tag","Technology",2,"mesh","2015-1",0
"tag","aging",1,"mesh","2015-1",0
"tag","bioethics",1,"mesh","2015-1",0
"tag","botany",1,"mesh","2015-1",0
"tag","brain",1,"mesh","2015-1",0
"tag","Canada",1,"mesh","2015-1",0
"tag","Cells",1,"mesh","2015-1",0
"tag","crizotinib",1,"mesh","2015-1",0
"tag","delaware",1,"mesh","2015-1",0
"tag","dementia",1,"mesh","2015-1",0
"tag","disease",1,"mesh","2015-1",0
"tag","engineering",1,"mesh","2015-1",0
"tag","Immunotherapy",1,"mesh","2015-1",0
"tag","Indiana",1,"mesh","2015-1",0
"tag","Insomnia",1,"mesh","2015-1",0
"tag","Marketing",1,"mesh","2015-1",0
"tag","Nurses",1,"mesh","2015-1",0
"tag","nutrition",1,"mesh","2015-1",0
"tag","parents",1,"mesh","2015-1",0
"tag","patents",1,"mesh","2015-1",0
"tag","pharmacists",1,"mesh","2015-1",0
"tag","rheum",1,"mesh","2015-1",0
"tag","singapore",1,"mesh","2015-1",0
"tag","Sleep",1,"mesh","2015-1",0
"tag","telemedicine",1,"mesh","2015-1",0
"tag","telomerase",1,"mesh","2015-1",0
"tag","Tunisia",1,"mesh","2015-1",0
"tag","KnowYourTumor",25,"none","2015-1",0
"tag","pm101",25,"none","2015-1",0
"tag","Analytics",24,"none","2015-1",0
"tag","LDT",24,"none","2015-1",0
"tag","Google",22,"none","2015-1",0
"tag","medical",20,"none","2015-1",0
"tag","innovation",18,"none","2015-1",0
"tag","IoT",18,"none","2015-1",0
"tag","Pharma",17,"none","2015-1",0
"tag","digitalhealth",16,"none","2015-1",0
"tag","StateOfTheUnion",16,"none","2015-1",0
"tag","lcsm",15,"none","2015-1",0
"tag","SU2CSummit",14,"none","2015-1",0
"tag","DataScience",13,"none","2015-1",0
"tag","23andme",12,"none","2015-1",0
"tag","EGFR",12,"none","2015-1",0
"tag","hcsm",12,"none","2015-1",0
"tag","NGS",12,"none","2015-1",0
"tag","Nivolumab",12,"none","2015-1",0
"tag","NSCLC",12,"none","2015-1",0
"tag","healthIT",11,"none","2015-1",0
"tag","Personalization",10,"none","2015-1",0
"tag","disparities",9,"none","2015-1",0
"tag","LSIPublicTalks",9,"none","2015-1",0
"tag","PMedicine",9,"none","2015-1",0
"tag","antibiotic",8,"none","2015-1",0
"tag","breastcancer",8,"none","2015-1",0
"tag","CancerCANdor",8,"none","2015-1",0
"tag","lungcancer",8,"none","2015-1",0
"tag","mHealth",8,"none","2015-1",0
"tag","MiamiWinterSymposium",8,"none","2015-1",0
"top_twitterer","Personal_Med",38,"none","2015-10",1
"top_twitterer","BioSquat",24,"none","2015-10",1
"top_hashtag","medicine",90,"none","2015-10",1
"top_hashtag","Personalized",71,"none","2015-10",1
"top_hashtag","Precision",68,"none","2015-10",1
"top_hashtag","PersonalizedMedicine",28,"none","2015-10",1
"top_hashtag","personalizedmeds",19,"none","2015-10",1
"top_hashtag","ProHC",19,"none","2015-10",1
"top_hashtag","precisionmedicine",12,"none","2015-10",1
"top_hashtag","hcsm",9,"none","2015-10",1
"top_hashtag","ASHG15)",8,"none","2015-10",1
"top_hashtag","ubuffalo",8,"none","2015-10",1
"top_hashtag","cancer",7,"none","2015-10",1
"top_hashtag","nanotechnology",7,"none","2015-10",1
"top_hashtag","Policy",7,"none","2015-10",1
"top_hashtag","rarediseases",7,"none","2015-10",1
"tag","ASHG15)",8,"conference","2015-10",1
"tag","gippec2015",5,"conference","2015-10",1
"tag","PODD2015",3,"conference","2015-10",1
