"type","value","count","flag"
"top_twitterer","GeneticsUpdate",4122,"none"
"top_twitterer","Dreamville402",2091,"none"
"top_twitterer","TheIronDen",1992,"none"
"top_twitterer","sl1lm",1846,"none"
"top_twitterer","genetics_blog",1606,"none"
"top_twitterer","AssGods",1498,"none"
"top_twitterer","Geneticswatch",1215,"none"
"top_twitterer","TittyGods",1119,"none"
"top_twitterer","dbbmonica",917,"none"
"top_twitterer","23andMe",897,"none"
"top_twitterer","ohio98babe",845,"none"
"top_twitterer","LivinOnAHigh",830,"none"
"top_twitterer","QuizMeGenetics",821,"none"
"top_twitterer","DrRobMelillo",792,"none"
"top_hashtag","IntelSTS",564,"none"
"top_hashtag","KCA",562,"none"
"top_hashtag","dnaspectrum",553,"none"
"top_hashtag","RareDisease",535,"none"
"top_hashtag","iQ",511,"none"
"top_hashtag","FourLeafClover",438,"none"
"top_hashtag","autism",431,"none"
"top_hashtag","VoteLittleMixUK",404,"none"
"top_hashtag","cancer",389,"none"
"top_hashtag","Technology",388,"none"
"top_hashtag","ACMGmtg",354,"none"
"top_hashtag","biotech",325,"none"
"top_hashtag","Evolution",291,"none"
"top_hashtag","TheDress",254,"none"
"tag","ACMGmtg",354,"conference"
"tag","Fungal15",203,"conference"
"tag","DROS2015",154,"conference"
"tag","FOGM15",107,"conference"
"tag","et15",51,"conference"
"tag","OMGN15",50,"conference"
"tag","AAPA2015",38,"conference"
"tag","MCC2015",35,"conference"
"tag","TED2015",28,"conference"
"tag","CUGH2015",22,"conference"
"tag","HIDS15",19,"conference"
"tag","YSC2015",14,"conference"
"tag","ACMG2015",12,"conference"
"tag","panellinies2015",12,"conference"
"tag","purpleday2015",12,"conference"
"tag","ARUKconf",11,"conference"
"tag","ASHG15",11,"conference"
"tag","ACC15",10,"conference"
"tag","BrainForum15",10,"conference"
"tag","TBICRI15",10,"conference"
"tag","citsci2015",9,"conference"
"tag","JGI2015",9,"conference"
"tag","ADPD2015",8,"conference"
"tag","BSW15",8,"conference"
"tag","GDLS2015",7,"conference"
"tag","CWC15",6,"conference"
"tag","EGG2015",6,"conference"
"tag","ENDO2015",6,"conference"
"tag","GU15",6,"conference"
"tag","IHMC2015",6,"conference"
"tag","maize2015",6,"conference"
"tag","RDD2015",6,"conference"
"tag","Rhinds2015",6,"conference"
"tag","Spannabis2015",6,"conference"
"tag","SXSW2015",6,"conference"
"tag","TagEvent2015",6,"conference"
"tag","calgarygradconf2015",5,"conference"
"tag","canolab15",5,"conference"
"tag","ISICEM15",5,"conference"
"tag","plant15",5,"conference"
"tag","WSPA2015",5,"conference"
"tag","2015ECS",4,"conference"
"tag","2015FEST",4,"conference"
"tag","2015neurofest",4,"conference"
"tag","ACMG15",4,"conference"
"tag","AGBT15",4,"conference"
"tag","BEM2015",4,"conference"
"tag","bioit15",4,"conference"
"tag","Crufts2015",4,"conference"
"tag","genetics15",4,"conference"
"tag","Technology",388,"mesh"
"tag","cannabis",211,"mesh"
"tag","research",208,"mesh"
"tag","exercise",166,"mesh"
"tag","History",159,"mesh"
"tag","genome",138,"mesh"
"tag","Intelligence",137,"mesh"
"tag","Medicine",137,"mesh"
"tag","Bioethics",110,"mesh"
"tag","travel",107,"mesh"
"tag","Europe",92,"mesh"
"tag","family",74,"mesh"
"tag","drosophila",70,"mesh"
"tag","anthropology",59,"mesh"
"tag","twins",57,"mesh"
"tag","Ethics",48,"mesh"
"tag","disease",47,"mesh"
"tag","fantasy",46,"mesh"
"tag","fertility",45,"mesh"
"tag","Iceland",44,"mesh"
"tag","Obesity",44,"mesh"
"tag","psychology",44,"mesh"
"tag","Education",42,"mesh"
"tag","nutrition",41,"mesh"
"tag","environment",40,"mesh"
"tag","depression",38,"mesh"
"tag","anorexia",37,"mesh"
"tag","nanotechnology",37,"mesh"
"tag","brain",35,"mesh"
"tag","biotechnology",32,"mesh"
"tag","life",32,"mesh"
"tag","Hemophilia",31,"mesh"
"tag","sociology",31,"mesh"
"tag","altruism",29,"mesh"
"tag","amphibians",29,"mesh"
"tag","Risk",28,"mesh"
"tag","diet",26,"mesh"
"tag","vaccines",26,"mesh"
"tag","Chicago",25,"mesh"
"tag","nature",25,"mesh"
"tag","archaeology",24,"mesh"
"tag","Food",24,"mesh"
"tag","Music",24,"mesh"
"tag","Anxiety",23,"mesh"
"tag","Biochemistry",23,"mesh"
"tag","Elephants",23,"mesh"
"tag","aging",22,"mesh"
"tag","microbiology",21,"mesh"
"tag","plants",21,"mesh"
"tag","robotics",21,"mesh"
"tag","TFM",239,"none"
"tag","neuroscience",222,"none"
"tag","fitness",218,"none"
"tag","BRCA",195,"none"
"tag","healthcare",159,"none"
"tag","SNRTG",156,"none"
"tag","gmo",143,"none"
"tag","DigitalHealth",136,"none"
"tag","KVTC",135,"none"
"tag","iPhone",131,"none"
"tag","job",129,"none"
"tag","NobelFacts",119,"none"
"tag","personaltrainer",113,"none"
"tag","11",112,"none"
"tag","scwmania",112,"none"
"tag","pharma",107,"none"
"tag","breastcancer",104,"none"
"tag","PrecisionMedicine",104,"none"
"tag","apple",101,"none"
"tag","ancestry",98,"none"
"tag","heartdisease",96,"none"
"tag","iTunes",95,"none"
"tag","iTunesU",95,"none"
"tag","Mac",95,"none"
