"type","value","count","flag"
"top_twitterer","GeneticsUpdate",2577,"none"
"top_twitterer","Paul_Sonnier",2348,"none"
"top_twitterer","bobfartall",1703,"none"
"top_twitterer","Geneticswatch",1454,"none"
"top_twitterer","sl1lm",1215,"none"
"top_twitterer","trove",1166,"none"
"top_twitterer","naturalgenetic",1161,"none"
"top_twitterer","viEUws",1104,"none"
"top_twitterer","ScienceWatchout",890,"none"
"top_twitterer","winsnetworker",887,"none"
"top_twitterer","NeuroscienceNew",860,"none"
"top_twitterer","AlertTrade",823,"none"
"top_twitterer","onenetworknet",817,"none"
"top_twitterer","genetics_blog",795,"none"
"top_hashtag","cannabis",821,"none"
"top_hashtag","obesity",759,"none"
"top_hashtag","Скачать",540,"none"
"top_hashtag","DigitalHealth",531,"none"
"top_hashtag","diet",525,"none"
"top_hashtag","BRCA",485,"none"
"top_hashtag","Madagascar",448,"none"
"top_hashtag","Earth",439,"none"
"top_hashtag","dek59",431,"none"
"top_hashtag","dek60",426,"none"
"top_hashtag","Cancer",420,"none"
"top_hashtag","sleep",396,"none"
"top_hashtag","neuroscience",336,"none"
"top_hashtag","HereditaryCancer",334,"none"
"tag","Mendel2015",307,"conference"
"tag","eshg2015",183,"conference"
"tag","worm15",102,"conference"
"tag","eshg15",86,"conference"
"tag","asco15",83,"conference"
"tag","pmsummit2015",28,"conference"
"tag","EDSUKconference",27,"conference"
"tag","FORCE15",25,"conference"
"tag","caaconv15",24,"conference"
"tag","primegen2015",24,"conference"
"tag","CTC2015",19,"conference"
"tag","BIF15",17,"conference"
"tag","2015ADA",16,"conference"
"tag","ASHG15",15,"conference"
"tag","BIO2015",15,"conference"
"tag","EULAR2015",15,"conference"
"tag","ICDS2015",15,"conference"
"tag","wctc15",15,"conference"
"tag","2015CCS",13,"conference"
"tag","ASM2015",13,"conference"
"tag","SPARCS2015",13,"conference"
"tag","evol2015",12,"conference"
"tag","f215",11,"conference"
"tag","DDF2015",10,"conference"
"tag","hws15",10,"conference"
"tag","ISTH2015",10,"conference"
"tag","TCGC15",10,"conference"
"tag","ISGA2015",9,"conference"
"tag","ISGA2015compostela",9,"conference"
"tag","TransHealth2015",9,"conference"
"tag","OHBM2015",8,"conference"
"tag","TRC2015",8,"conference"
"tag","ucvmbeef15",8,"conference"
"tag","HTC2015",7,"conference"
"tag","nypconfessions",7,"conference"
"tag","SpokenWordRevolution2015",7,"conference"
"tag","BWBL15",6,"conference"
"tag","ESHRE2015",6,"conference"
"tag","IPPA2015",6,"conference"
"tag","mrconf15",6,"conference"
"tag","Rhinds2015",6,"conference"
"tag","scicomm15",6,"conference"
"tag","UAlberta15",6,"conference"
"tag","usociety15",6,"conference"
"tag","WPX15",6,"conference"
"tag","AHS15DC",5,"conference"
"tag","aigmega2015",5,"conference"
"tag","Argentina2015",5,"conference"
"tag","ASCRS15",5,"conference"
"tag","BGA2015",5,"conference"
"tag","cannabis",821,"mesh"
"tag","obesity",759,"mesh"
"tag","diet",525,"mesh"
"tag","Madagascar",448,"mesh"
"tag","sleep",396,"mesh"
"tag","Nature",307,"mesh"
"tag","mutation",291,"mesh"
"tag","family",263,"mesh"
"tag","history",209,"mesh"
"tag","exercise",175,"mesh"
"tag","research",165,"mesh"
"tag","motivation",159,"mesh"
"tag","Medicine",115,"mesh"
"tag","humor",108,"mesh"
"tag","men",85,"mesh"
"tag","anthropology",84,"mesh"
"tag","Europe",74,"mesh"
"tag","psychology",62,"mesh"
"tag","nutrition",59,"mesh"
"tag","economics",54,"mesh"
"tag","sociology",53,"mesh"
"tag","education",52,"mesh"
"tag","schizophrenia",50,"mesh"
"tag","love",48,"mesh"
"tag","Disease",46,"mesh"
"tag","genome",46,"mesh"
"tag","women",44,"mesh"
"tag","Creativity",39,"mesh"
"tag","hair",36,"mesh"
"tag","Canada",35,"mesh"
"tag","Epilepsy",35,"mesh"
"tag","food",35,"mesh"
"tag","fertility",34,"mesh"
"tag","Colonoscopy",33,"mesh"
"tag","dinosaurs",33,"mesh"
"tag","Endoscopy",33,"mesh"
"tag","archaeology",32,"mesh"
"tag","agriculture",29,"mesh"
"tag","Anatomy",28,"mesh"
"tag","language",28,"mesh"
"tag","Brain",27,"mesh"
"tag","life",26,"mesh"
"tag","Neurology",26,"mesh"
"tag","Alchemy",25,"mesh"
"tag","Pathology",25,"mesh"
"tag","technology",25,"mesh"
"tag","biotechnology",24,"mesh"
"tag","environment",24,"mesh"
"tag","Africa",23,"mesh"
"tag","bioethics",23,"mesh"
"tag","job",328,"none"
"tag","Antarctica's",327,"none"
"tag","comedy",310,"none"
"tag","RareDisease",304,"none"
"tag","Weightlifting",268,"none"
"tag","Fitness",262,"none"
"tag","virus",254,"none"
"tag","Lynchsyndrome",252,"none"
"tag","genetherapy",247,"none"
"tag","ancestry",243,"none"
"tag","Advanced",226,"none"
"tag","Hcchat",213,"none"
"tag","SNRTG",206,"none"
"tag","GMO",203,"none"
"tag","evolution",184,"none"
"tag","GeneticTesting",175,"none"
"tag","Hiring",175,"none"
"tag","precisionmedicine",163,"none"
"tag","LastManOnEarth",157,"none"
"tag","YESBANK",152,"none"
"tag","Healthcare",148,"none"
"tag","Fitlife",145,"none"
"tag","KVTC",144,"none"
"tag","WearableTech",136,"none"
"tag","epigenetics",134,"none"
"tag","mHealth",125,"none"
"tag","MensHealthMonth",123,"none"
