"type","value","count","flag"
"top_twitterer","telemedicine101",487,"none"
"top_twitterer","Personal_Med",282,"none"
"top_twitterer","Diaceutics",127,"none"
"top_twitterer","BioSquat",117,"none"
"top_twitterer","pfanderson",109,"none"
"top_twitterer","NoSQLDigest",84,"none"
"top_twitterer","BizBreakRadio",70,"none"
"top_twitterer","btrfly12",64,"none"
"top_twitterer","womenofteal",55,"none"
"top_twitterer","myriadgenetics",48,"none"
"top_twitterer","cathcoste",45,"none"
"top_twitterer","labceuticslabs",35,"none"
"top_twitterer","bioceuticsphc",25,"none"
"top_twitterer","gyncsm",23,"none"
"top_hashtag","medicine",539,"none"
"top_hashtag","personalized",487,"none"
"top_hashtag","Precision",394,"none"
"top_hashtag","personalizedmedicine",266,"none"
"top_hashtag","PrecisionMedicine",198,"none"
"top_hashtag","gyncsm",150,"none"
"top_hashtag","healthcare",66,"none"
"top_hashtag","companiondiagnostics",59,"none"
"top_hashtag","cancer",55,"none"
"top_hashtag","KFSHRC",55,"none"
"top_hashtag","ASCO15",52,"none"
"top_hashtag","PMSummit2015",52,"none"
"top_hashtag","personalizedmeds",42,"none"
"top_hashtag","1776Challenge",39,"none"
"tag","ASCO15",52,"conference"
"tag","PMSummit2015",52,"conference"
"tag","CGD15",23,"conference"
"tag","ACSM15",19,"conference"
"tag","AUA15",16,"conference"
"tag","HTC2015",11,"conference"
"tag","IYL2015",11,"conference"
"tag","MMTM15",10,"conference"
"tag","NCRM15",9,"conference"
"tag","pmed2015",9,"conference"
"tag","personalmed15",7,"conference"
"tag","ATA2015",6,"conference"
"tag","ATS2015",6,"conference"
"tag","CNS2015",6,"conference"
"tag","Cures2015",5,"conference"
"tag","Stenosymp2015",5,"conference"
"tag","IMFAR2015",4,"conference"
"tag","AGS15",3,"conference"
"tag","APAAM15",3,"conference"
"tag","GLBio2015",3,"conference"
"tag","ISBER2015",3,"conference"
"tag","ASUG2015",2,"conference"
"tag","BioSM2015",2,"conference"
"tag","careb2015",2,"conference"
"tag","clearair15",2,"conference"
"tag","HRS2015",2,"conference"
"tag","HT15",2,"conference"
"tag","LS15NOW",2,"conference"
"tag","mie2015",2,"conference"
"tag","QNRFAnnualForum15",2,"conference"
"tag","RSHealth2015",2,"conference"
"tag","AAES2015",1,"conference"
"tag","abphm15",1,"conference"
"tag","ACLA15",1,"conference"
"tag","AIA_ASCO2015",1,"conference"
"tag","ALSAdvocacyDay2015",1,"conference"
"tag","ASBrS15",1,"conference"
"tag","ASCO2015",1,"conference"
"tag","aua2015",1,"conference"
"tag","BOG15",1,"conference"
"tag","GE2015",1,"conference"
"tag","HTFIC2015",1,"conference"
"tag","HWTM15",1,"conference"
"tag","IconicTour15",1,"conference"
"tag","mlanet15",1,"conference"
"tag","pint15",1,"conference"
"tag","Pioneers15",1,"conference"
"tag","StateofPM2015",1,"conference"
"tag","ULF15
To",1,"conference"
"tag","medicine",539,"mesh"
"tag","Marketing",17,"mesh"
"tag","Telemedicine",17,"mesh"
"tag","immunotherapy",15,"mesh"
"tag","Technology",14,"mesh"
"tag","asthma",12,"mesh"
"tag","heart",12,"mesh"
"tag","Robotics",12,"mesh"
"tag","schizophrenia",12,"mesh"
"tag","Nature",9,"mesh"
"tag","Boston",5,"mesh"
"tag","Ethics",5,"mesh"
"tag","melanoma",5,"mesh"
"tag","Rheum",5,"mesh"
"tag","disease",4,"mesh"
"tag","Genome",4,"mesh"
"tag","obesity",4,"mesh"
"tag","patients",4,"mesh"
"tag","advertising",3,"mesh"
"tag","cardiology",3,"mesh"
"tag","diet",3,"mesh"
"tag","Humanities",3,"mesh"
"tag","Life",3,"mesh"
"tag","pharmacists",3,"mesh"
"tag","psychiatry",3,"mesh"
"tag","research",3,"mesh"
"tag","arthritis",2,"mesh"
"tag","basketball",2,"mesh"
"tag","bioethics",2,"mesh"
"tag","Cannabis",2,"mesh"
"tag","neurology",2,"mesh"
"tag","nutrition",2,"mesh"
"tag","Philippines",2,"mesh"
"tag","privacy",2,"mesh"
"tag","Proteomics",2,"mesh"
"tag","Rheumatology",2,"mesh"
"tag","anesthesia",1,"mesh"
"tag","Anesthesiology",1,"mesh"
"tag","canada",1,"mesh"
"tag","Character",1,"mesh"
"tag","child",1,"mesh"
"tag","cholangiocarcinoma",1,"mesh"
"tag","Dentistry",1,"mesh"
"tag","depression",1,"mesh"
"tag","lung",1,"mesh"
"tag","lymphoma",1,"mesh"
"tag","microbiology",1,"mesh"
"tag","nanomedicine",1,"mesh"
"tag","nurses",1,"mesh"
"tag","nursing",1,"mesh"
"tag","الطب_الشخصي.
http://t.co/egvDWnnXCz
",37,"none"
"tag","hiring",36,"none"
"tag","precisionmed",36,"none"
"tag","pharma",35,"none"
"tag","clinicaltrials",33,"none"
"tag","HealthIT",29,"none"
"tag","Personalized_Medicine",29,"none"
"tag","digitalhealth",28,"none"
"tag","heartdisease",26,"none"
"tag","RealHopeIs",26,"none"
"tag","IBMEdge",24,"none"
"tag","targetedtherapy",24,"none"
"tag","BreastCancer",23,"none"
"tag","oncology",23,"none"
"tag","conscioushealthsolutions",22,"none"
"tag","mhealth",22,"none"
"tag","personalisedmedicine",21,"none"
"tag","PM101",20,"none"
"tag","bcsm",18,"none"
"tag","biotech",18,"none"
"tag","GetPersonalized",18,"none"
"tag","Riyadh",17,"none"
"tag","SAPRadio",17,"none"
"tag","diagnostics",15,"none"
"tag","datahealthcare",14,"none"
"tag","hcsm",14,"none"
"tag","RareDisease",13,"none"
